rt,response,condition
1.1099451780319214,1,teaching
1.0999680757522583,1,teaching
1.1217825412750244,1,teaching
1.5860180854797363,1,teaching
1.5310744047164917,1,teaching
0.6189256906509399,1,teaching
2.1929633617401123,1,teaching
0.6094356775283813,1,teaching
1.5482614040374756,1,teaching
0.7851328253746033,1,teaching
0.48508960008621216,1,teaching
1.2736225128173828,1,teaching
1.7288994789123535,1,teaching
0.5772963762283325,1,teaching
2.1238346099853516,-1,teaching
0.7715940475463867,1,teaching
1.4834738969802856,1,teaching
3.6346302032470703,1,teaching
0.5392324924468994,1,teaching
0.9239460825920105,-1,teaching
0.6714518070220947,1,teaching
0.5842313170433044,1,teaching
3.0091350078582764,1,teaching
0.5540399551391602,-1,teaching
1.0468971729278564,1,teaching
0.7303743362426758,1,teaching
1.9435967206954956,1,teaching
0.5404139757156372,1,teaching
0.46880632638931274,1,teaching
1.1726990938186646,1,teaching
1.0683562755584717,-1,teaching
3.994739294052124,1,teaching
1.1571485996246338,1,teaching
0.9929622411727905,1,teaching
0.6582912802696228,1,teaching
0.6918796300888062,1,teaching
1.5865041017532349,1,teaching
0.655103325843811,1,teaching
0.828689694404602,-1,teaching
2.9080114364624023,1,teaching
0.4824609160423279,1,teaching
0.7257192134857178,1,teaching
1.0649304389953613,-1,teaching
2.933833599090576,1,teaching
1.9055414199829102,1,teaching
3.975276231765747,1,teaching
0.9058992862701416,1,teaching
0.8469205498695374,1,teaching
2.1060280799865723,1,teaching
0.8147006630897522,-1,teaching
0.5289628505706787,1,teaching
1.5014957189559937,1,teaching
1.980440378189087,-1,teaching
3.2446467876434326,1,teaching
1.1055717468261719,1,teaching
0.6280853748321533,1,teaching
0.6308509111404419,1,teaching
0.945285975933075,1,teaching
0.47998443245887756,1,teaching
2.5441009998321533,1,teaching
0.6860886812210083,1,teaching
1.6337528228759766,1,teaching
1.557201862335205,1,teaching
4.473267078399658,1,teaching
1.1014518737792969,1,teaching
1.0992600917816162,-1,teaching
0.6448652744293213,1,teaching
1.229475498199463,1,teaching
1.5695329904556274,1,teaching
1.1273183822631836,1,teaching
5.20032262802124,1,teaching
0.7019364833831787,1,teaching
1.5423890352249146,1,teaching
2.185173511505127,1,teaching
1.0886503458023071,1,teaching
0.90827876329422,1,teaching
0.5426771640777588,1,teaching
1.7523305416107178,1,teaching
1.4227896928787231,1,teaching
0.8787890076637268,1,teaching
4.431221008300781,-1,teaching
0.5269530415534973,1,teaching
1.2122389078140259,1,teaching
2.23758602142334,-1,teaching
1.2683799266815186,-1,teaching
1.6344037055969238,1,teaching
1.0800597667694092,1,teaching
1.5597960948944092,1,teaching
1.7770261764526367,1,teaching
1.0419546365737915,1,teaching
0.6973159313201904,1,teaching
1.1095389127731323,1,teaching
0.5411921143531799,1,teaching
0.9379837512969971,1,teaching
1.6743879318237305,1,teaching
4.136412620544434,1,teaching
2.489265203475952,1,teaching
1.654990553855896,1,teaching
2.2682242393493652,1,teaching
1.4193410873413086,1,teaching
1.0146851539611816,1,teaching
0.5654219388961792,1,teaching
0.9425379633903503,1,teaching
0.5584535002708435,1,teaching
0.7297322750091553,-1,teaching
0.8936686515808105,-1,teaching
1.7744488716125488,1,teaching
1.2937382459640503,1,teaching
0.9017339944839478,1,teaching
0.5331518054008484,1,teaching
0.4746260643005371,1,teaching
1.4608949422836304,1,teaching
1.201808214187622,-1,teaching
2.0953211784362793,1,teaching
0.6802127361297607,1,teaching
1.167567491531372,1,teaching
0.43982577323913574,1,teaching
1.0671546459197998,1,teaching
1.6251335144042969,1,teaching
1.742343544960022,1,teaching
1.1819474697113037,1,teaching
1.3414931297302246,1,teaching
0.649451732635498,1,teaching
1.5101133584976196,1,teaching
1.173196792602539,1,teaching
0.940375804901123,1,teaching
0.6660397052764893,1,teaching
2.749016284942627,1,teaching
2.909891366958618,1,teaching
2.3165080547332764,-1,teaching
1.2107605934143066,1,teaching
1.7592136859893799,1,teaching
3.318319082260132,1,teaching
1.9097038507461548,1,teaching
3.988043785095215,1,teaching
1.1981897354125977,1,teaching
1.0719516277313232,1,teaching
0.8386107683181763,1,teaching
2.550321578979492,1,teaching
0.9527889490127563,-1,teaching
0.9245742559432983,-1,teaching
1.5812777280807495,1,teaching
1.2498232126235962,-1,teaching
0.6868700981140137,1,teaching
0.8109155893325806,1,teaching
1.496915340423584,1,teaching
1.1881792545318604,-1,teaching
1.6919866800308228,1,teaching
2.2437210083007812,1,teaching
2.2474236488342285,1,teaching
0.7250245809555054,1,teaching
0.6050906777381897,1,teaching
1.8966805934906006,1,teaching
0.6033321022987366,1,teaching
1.584575891494751,1,teaching
1.0236225128173828,1,teaching
2.030479669570923,1,teaching
0.5605558753013611,-1,teaching
3.2262449264526367,1,teaching
2.691141128540039,1,teaching
2.8176212310791016,1,teaching
0.684008777141571,1,teaching
2.299487352371216,1,teaching
1.023941993713379,1,teaching
1.9332237243652344,1,teaching
0.44513171911239624,1,teaching
1.3484022617340088,1,teaching
0.6203023195266724,1,teaching
1.5857540369033813,1,teaching
1.730371356010437,1,teaching
1.313137173652649,1,teaching
2.2819371223449707,1,teaching
1.0982298851013184,1,teaching
0.4183220863342285,1,teaching
0.5910069346427917,1,teaching
0.8649057149887085,1,teaching
1.3440494537353516,1,teaching
1.713286280632019,1,teaching
