stage,choice,quantity,observed,predicted_mean,lower_94,upper_94,replicates_with_quantity,total_replicates
prior_predictive,-1,choice proportion,0.12666666666666668,0.525,0.0,1.0,200,200
prior_predictive,-1,RT q=0.1 (s),0.6789793550968171,0.568879304948465,0.13635417395830154,1.458709199905395,189,200
prior_predictive,-1,RT q=0.5 (s),1.1949937343597412,0.9799692025063215,0.23915408462285995,2.4982229900360107,189,200
prior_predictive,-1,RT q=0.9 (s),2.60703163146973,2.0703047509862005,0.5121607232093811,5.829438014984129,189,200
prior_predictive,1,choice proportion,0.8733333333333333,0.475,0.0,1.0,200,200
prior_predictive,1,RT q=0.1 (s),0.5739076733589172,0.5408895665799957,0.10286630919575691,1.4458006311655023,184,200
prior_predictive,1,RT q=0.5 (s),1.2923477292060852,0.955384640832958,0.1975529645383358,2.574966487884521,184,200
prior_predictive,1,RT q=0.9 (s),2.9097033739089966,1.9890306464193959,0.4115226075351238,5.577379561424251,184,200
posterior_predictive,-1,choice proportion,0.12666666666666668,0.12739166666666665,0.08,0.18,2000,2000
posterior_predictive,-1,RT q=0.1 (s),0.6789793550968171,0.661459837065637,0.4923578697741032,0.8633300590515137,2000,2000
posterior_predictive,-1,RT q=0.5 (s),1.1949937343597412,1.3106806728094815,0.9667463031411171,1.7179406189918518,2000,2000
posterior_predictive,-1,RT q=0.9 (s),2.60703163146973,2.890735511696339,2.04562002325058,4.003546460151672,2000,2000
posterior_predictive,1,choice proportion,0.8733333333333333,0.8726083333333333,0.82,0.92,2000,2000
posterior_predictive,1,RT q=0.1 (s),0.5739076733589172,0.6139996173098684,0.5461313942670822,0.6808492287397384,2000,2000
posterior_predictive,1,RT q=0.5 (s),1.2923477292060852,1.259461032152176,1.1196741181612015,1.416243759393692,2000,2000
posterior_predictive,1,RT q=0.9 (s),2.9097033739089966,2.918369466388226,2.51274999666214,3.4014198091030132,2000,2000
