age,age_scaled,income_bracket,urban,region,support
58.84860675682346,1.8848606756823458,low,1,north,0
37.892744480301495,-0.2107255519698505,medium,1,north,1
69.47855715774894,2.9478557157748937,medium,1,north,0
38.12428440864657,-0.18757155913534335,low,1,north,0
35.85352725265432,-0.4146472747345683,medium,0,north,0
46.16061303126874,0.6160613031268738,low,1,north,0
36.04578419852377,-0.3954215801476231,low,0,north,1
37.88275965456364,-0.21172403454363575,medium,1,north,1
32.78138353265202,-0.7218616467347978,medium,0,north,1
60.474161111244065,2.0474161111244067,low,1,north,0
30.909633491749982,-0.9090366508250017,medium,0,north,1
37.10583791253112,-0.2894162087468878,low,1,north,1
49.842984699252646,0.9842984699252646,high,0,north,0
32.199865485653,-0.7800134514347,medium,1,north,0
38.94899941450833,-0.10510005854916712,medium,0,north,1
24.216705659005726,-1.5783294340994274,medium,1,north,0
40.07865190069479,0.0078651900694787,high,1,north,0
54.37424472610003,1.4374244726100032,medium,0,north,0
20.551636822868122,-1.9448363177131878,low,1,north,0
59.45393890059905,1.9453938900599048,low,1,north,1
31.54372282404193,-0.8456277175958071,medium,0,north,0
59.69460091726301,1.969460091726301,low,1,north,0
23.856369667141728,-1.6143630332858272,medium,1,north,1
48.62416024117638,0.8624160241176376,high,1,north,1
44.43042333363157,0.44304233336315735,medium,1,north,0
54.38313248337243,1.4383132483372427,medium,1,south,1
37.37455112128437,-0.26254488787156305,medium,1,south,0
51.914300369037605,1.1914300369037605,low,0,south,0
36.91609546901793,-0.3083904530982068,medium,1,south,1
35.599893175307386,-0.4400106824692614,low,1,south,0
48.79857659209449,0.8798576592094491,high,0,south,1
21.508905418342295,-1.8491094581657705,medium,1,south,0
55.79269531283924,1.5792695312839242,low,1,south,0
45.42232321684428,0.5422323216844284,high,0,south,0
53.891076851281035,1.3891076851281035,medium,1,south,0
52.05841535495978,1.2058415354959777,high,0,south,0
31.667076389686642,-0.8332923610313359,low,0,south,0
24.71728917022495,-1.5282710829775048,low,0,south,0
44.37032726549602,0.4370327265496023,high,1,south,0
64.63360992502288,2.463360992502288,medium,1,south,1
55.80217027709317,1.5802170277093168,low,0,south,0
61.94885924091326,2.194885924091326,low,0,south,1
62.63405953592286,2.2634059535922857,medium,1,south,1
41.5947758503491,0.15947758503491016,medium,0,south,0
62.161549766710294,2.2161549766710293,medium,1,south,1
32.18714736049685,-0.7812852639503148,high,0,south,0
47.36917523088959,0.7369175230889589,high,1,south,1
40.420182898057256,0.04201828980572557,low,1,south,1
24.91898025307921,-1.5081019746920792,medium,1,south,1
39.7146697863941,-0.028533021360590282,high,0,south,1
53.77187328601553,1.3771873286015528,high,1,south,1
46.20711608985764,0.6207116089857643,low,0,south,0
30.6769010767627,-0.93230989232373,high,1,south,1
21.90783519998472,-1.809216480001528,high,1,south,0
46.30546160045936,0.630546160045936,high,0,south,1
37.318666254221974,-0.2681333745778026,high,1,south,1
20.845492626254902,-1.9154507373745098,low,0,south,0
39.84967404844633,-0.015032595155366835,high,0,south,0
26.250800743268094,-1.3749199256731905,medium,1,south,1
